任务ID,来源,任务类型,任务域,子类,任务名称,任务层级,主验证层,T映射,PA映射,G映射,优先级,任务性质,推荐场景/触发,核心证据,通过判据,典型失败信号,失败优先追因,关联旧场景/备注
GEN-012,新增-v2,GEN,一般性判据,合法性,写边界不越权,一般,T/PA,T2,PA5,G1,P0,一般,抽象场景：写边界不越权,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-013,新增-v2,GEN,一般性判据,合法性,时间单调不回退,一般,T/PA,T2,PA1,G1,P0,一般,抽象场景：时间单调不回退,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-014,新增-v2,GEN,一般性判据,合法性,接口链完备,一般,T/PA,T2,PA1,G1,P0,一般,抽象场景：接口链完备,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-015,新增-v2,GEN,一般性判据,合法性,关闭后禁止写入已终局对象,一般,T/PA,T2,PA5,G1,P0,一般,抽象场景：关闭后禁止写入已终局对象,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-016,新增-v2,GEN,一般性判据,合法性,重放不产生双写,一般,T/PA,T2,PA5,G1,P0,一般,抽象场景：重放不产生双写,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-017,新增-v2,GEN,一般性判据,有界性,通知数量有界,一般,T/PA,T3,PA2,G3,P0,一般,抽象场景：通知数量有界,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-018,新增-v2,GEN,一般性判据,有界性,上下文数量有界,一般,T/PA,T3,PA2,G3,P0,一般,抽象场景：上下文数量有界,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-019,新增-v2,GEN,一般性判据,有界性,义务数量有界,一般,T/PA,T3,PA2,G3,P0,一般,抽象场景：义务数量有界,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-020,新增-v2,GEN,一般性判据,有界性,前景栈深度有界,一般,T/PA,T3,PA2,G3,P0,一般,抽象场景：前景栈深度有界,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-021,新增-v2,GEN,一般性判据,有界性,待重试队列有界,一般,T/PA,T3,PA2,G3,P0,一般,抽象场景：待重试队列有界,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-022,新增-v2,GEN,一般性判据,有界性,错误重放次数有界,一般,T/PA,T3,PA2,G3,P0,一般,抽象场景：错误重放次数有界,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-023,新增-v2,GEN,一般性判据,有界性,广播扇出有界,一般,T/PA,T3,PA2,G3,P0,一般,抽象场景：广播扇出有界,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-024,新增-v2,GEN,一般性判据,有界性,日志增长可截断,一般,T/PA,T3,PA2,G3,P0,一般,抽象场景：日志增长可截断,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-025,新增-v2,GEN,一般性判据,恢复性,能量耗尽后可恢复,一般,T/PA,T3,PA3,G3,P0,一般,抽象场景：能量耗尽后可恢复,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-026,新增-v2,GEN,一般性判据,恢复性,sleep_debt 可偿还,一般,T/PA,T3,PA3,G3,P0,一般,抽象场景：sleep_debt 可偿还,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-027,新增-v2,GEN,一般性判据,恢复性,refractory 结束后可重新进入,一般,T/PA,T3,PA3,G3,P0,一般,抽象场景：refractory 结束后可重新进入,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-028,新增-v2,GEN,一般性判据,恢复性,被中断后存在返回路径,一般,T/PA,T3,PA4,G3,P0,一般,抽象场景：被中断后存在返回路径,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-029,新增-v2,GEN,一般性判据,恢复性,reservation 到期后释放,一般,T/PA,T3,PA4,G3,P0,一般,抽象场景：reservation 到期后释放,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-030,新增-v2,GEN,一般性判据,恢复性,阻塞任务能重新获得调度机会,一般,T/PA,T3,PA4,G3,P0,一般,抽象场景：阻塞任务能重新获得调度机会,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-031,新增-v2,GEN,一般性判据,恢复性,掉线恢复后可重建局部状态,一般,T/PA,T3,PA3,G3,P0,一般,抽象场景：掉线恢复后可重建局部状态,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-032,新增-v2,GEN,一般性判据,恢复性,灾害结束后可重新耦合世界,一般,T/PA,T3,PA4,G3,P0,一般,抽象场景：灾害结束后可重新耦合世界,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-033,新增-v2,GEN,一般性判据,终局性,notification 必有终局,一般,T/PA,T3,PA6,G3,P0,一般,抽象场景：notification 必有终局,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-034,新增-v2,GEN,一般性判据,终局性,obligation 必有终局,一般,T/PA,T3,PA6,G3,P0,一般,抽象场景：obligation 必有终局,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-035,新增-v2,GEN,一般性判据,终局性,bounded context 必有终局,一般,T/PA,T3,PA6,G3,P0,一般,抽象场景：bounded context 必有终局,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-036,新增-v2,GEN,一般性判据,终局性,lease 必有终局,一般,T/PA,T3,PA6,G3,P0,一般,抽象场景：lease 必有终局,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-037,新增-v2,GEN,一般性判据,终局性,staging 记录必能清空,一般,T/PA,T3,PA6,G3,P0,一般,抽象场景：staging 记录必能清空,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-038,新增-v2,GEN,一般性判据,终局性,重试流程必有终局,一般,T/PA,T3,PA6,G3,P0,一般,抽象场景：重试流程必有终局,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-039,新增-v2,GEN,一般性判据,终局性,关闭广播必有终局,一般,T/PA,T3,PA6,G3,P0,一般,抽象场景：关闭广播必有终局,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-040,新增-v2,GEN,一般性判据,终局性,恢复工单必有终局,一般,T/PA,T3,PA6,G3,P0,一般,抽象场景：恢复工单必有终局,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-041,新增-v2,GEN,一般性判据,进展性,P(s) 可定义,一般,T/PA,T4,PA8,G4,P0,一般,抽象场景：P(s) 可定义,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-042,新增-v2,GEN,一般性判据,进展性,不同场类型有不同 P(s),一般,T/PA,T4,PA8,G4,P0,一般,抽象场景：不同场类型有不同 P(s),目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-043,新增-v2,GEN,一般性判据,进展性,消息增长不等于进展,一般,T/PA,T4,PA8,G4,P0,一般,抽象场景：消息增长不等于进展,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-044,新增-v2,GEN,一般性判据,进展性,空转循环可识别,一般,T/PA,T4,PA8,G4,P0,一般,抽象场景：空转循环可识别,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-045,新增-v2,GEN,一般性判据,进展性,无净进展循环可逃离,一般,T/PA,T4,PA8,G4,P0,一般,抽象场景：无净进展循环可逃离,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-046,新增-v2,GEN,一般性判据,进展性,长期等待与合法静息可区分,一般,T/PA,T4,PA8,G4,P0,一般,抽象场景：长期等待与合法静息可区分,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-047,新增-v2,GEN,一般性判据,进展性,recovering 微震荡可压制,一般,T/PA,T4,PA8,G4,P0,一般,抽象场景：recovering 微震荡可压制,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-048,新增-v2,GEN,一般性判据,进展性,任务卡死可被 timeout breaker 解除,一般,T/PA,T4,PA8,G4,P0,一般,抽象场景：任务卡死可被 timeout breaker 解除,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-049,新增-v2,GEN,一般性判据,耦合性,有权消息可达,一般,T/PA,T5,PA7,G5,P1,一般,抽象场景：有权消息可达,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-050,新增-v2,GEN,一般性判据,耦合性,本地危险信号可达,一般,T/PA,T5,PA7,G5,P1,一般,抽象场景：本地危险信号可达,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-051,新增-v2,GEN,一般性判据,耦合性,世界事件可触发主体,一般,T/PA,T5,PA7,G5,P1,一般,抽象场景：世界事件可触发主体,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-052,新增-v2,GEN,一般性判据,耦合性,主体动作能改变世界,一般,T/PA,T5,PA9,G5,P1,一般,抽象场景：主体动作能改变世界,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-053,新增-v2,GEN,一般性判据,耦合性,动作影响能被他人感知,一般,T/PA,T5,PA9,G5,P1,一般,抽象场景：动作影响能被他人感知,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-054,新增-v2,GEN,一般性判据,耦合性,感知与作用构成闭环,一般,T/PA,T5,PA7/PA9,G5,P1,一般,抽象场景：感知与作用构成闭环,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-055,新增-v2,GEN,一般性判据,耦合性,低头场景下本地点名仍可达,一般,T/PA,T5,PA7,G5,P1,一般,抽象场景：低头场景下本地点名仍可达,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-056,新增-v2,GEN,一般性判据,耦合性,灾害广播能重塑全局状态,一般,T/PA,T5,PA9,G5,P1,一般,抽象场景：灾害广播能重塑全局状态,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-057,新增-v2,GEN,一般性判据,跨层一致性,概率性失败能向下钻到结构根因,一般,T/PA,T2/T3/T4,PA5/PA6/PA8,G1/G3/G4,P1,一般,抽象场景：概率性失败能向下钻到结构根因,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-058,新增-v2,GEN,一般性判据,跨层一致性,场景失败能向上收敛到 T/PA,一般,T/PA,T2/T3/T4,PA5/PA6/PA8,G1/G3/G4,P1,一般,抽象场景：场景失败能向上收敛到 T/PA,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-059,新增-v2,GEN,一般性判据,跨层一致性,同一失败不会出现双真源解释,一般,T/PA,T2,PA5,G1,P1,一般,抽象场景：同一失败不会出现双真源解释,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-060,新增-v2,GEN,一般性判据,跨层一致性,同一 effect 不会同时被判终局与未终局,一般,T/PA,T3,PA6,G3,P1,一般,抽象场景：同一 effect 不会同时被判终局与未终局,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-061,新增-v2,GEN,一般性判据,跨层一致性,同一循环不被同时判进展与空转,一般,T/PA,T4,PA8,G4,P1,一般,抽象场景：同一循环不被同时判进展与空转,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-062,新增-v2,GEN,一般性判据,跨层一致性,可达性与可作用性不相互矛盾,一般,T/PA,T5,PA7/PA9,G5,P1,一般,抽象场景：可达性与可作用性不相互矛盾,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-063,新增-v2,GEN,一般性判据,跨层一致性,异常工程规则不污染理想主干,一般,T/PA,T1/T2,PA1/PA5,G0/G1,P1,一般,抽象场景：异常工程规则不污染理想主干,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-064,新增-v2,GEN,一般性判据,跨层一致性,每个新增要求都能向上追溯,一般,T/PA,T1/T2/T3/T4/T5,PA1-PA9,Gm,P1,一般,抽象场景：每个新增要求都能向上追溯,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-065,新增-v2,GEN,一般性判据,体系校验,失败现象可归类到现有体系,一般,T/PA,T1/T2,PA1/PA5,Gm,P1,一般,抽象场景：失败现象可归类到现有体系,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-066,新增-v2,GEN,一般性判据,体系校验,无法归类时触发缺口审查,一般,T/PA,T1/T2/T3,PA1/PA2/PA6,Gm,P1,一般,抽象场景：无法归类时触发缺口审查,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-067,新增-v2,GEN,一般性判据,体系校验,双目标失效无桥接时触发公理修订,一般,T/PA,T1/T4,PA8,Gm,P1,一般,抽象场景：双目标失效无桥接时触发公理修订,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-068,新增-v2,GEN,一般性判据,体系校验,要求层补丁膨胀时上收公理,一般,T/PA,T1/T2/T3/T4/T5,PA1-PA9,Gm,P1,一般,抽象场景：要求层补丁膨胀时上收公理,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
